,background,body,spikes,roar,eyes,hats,elements
73,background-purple2,body-yellow,spikes,roar-blue,eyes-tear,elements-horn,elements-planet
74,background-red2,body-blue,spikes,roar-blue2,eyes-glasses3,elements-greenhat,elements-planet
75,background-orange,body-pink2,spikes,roar-blue2,eyes-glasses2,elements-greenhat,elements-firetail
76,background-purple2,body-pink2,spikes,roar-drool,eyes-2,elements-halo,elements-planet
77,background-blue,body-purple,spikes,roar-purple,eyes-glasses6,elements-halo,elements-flower
78,background-pink,body-purple,spikes,roar-drool,eyes-glasses4,elements-bluehat,elements-firetail
79,background-lines,body-pink,spikes,roar-blue2,eyes-glasses3,elements-horn,elements-firetail
80,background-fgdarkblue,body-yellow,spikes,roar-tongue2,eyes-glasses1,elements-bluehat,elements-flower
81,background-purple2,body-yellow,spikes,roar-rainbow,eyes-glasses4,elements-halo,elements-flower
82,background-lines,body-cyan,spikes,roar-green,eyes-tear,elements-halo,elements-flower
83,background-blue,body-yellow,spikes,roar-green,eyes-glasses5,elements-horn,elements-firetail
84,background-orange,body-green,spikes,roar-blue,eyes-glasses3,elements-crown,elements-planet
85,background-pink2,body-purple,spikes,roar-yellow,eyes-glasses5,elements-flower1,elements-firetail
86,background-pink,body-purple,spikes,roar-blue,eyes-glasses2,elements-horn,elements-flower
87,background-orange,body-pink,spikes,roar-flowers,eyes-glasses5,elements-horn,elements-firetail
88,background-themed,body-pink2,spikes,roar-pink,eyes-tear,elements-flower1,elements-planet
89,background-orange,body-yellow,spikes,roar-drool,eyes-tear,elements-halo,elements-planet
90,background-lines,body-cyan,spikes,roar-rainbow,eyes-glasses3,elements-flower1,elements-flower
91,background-cloud,body-pink,spikes,roar-blue3,eyes-glasses4,elements-horn,elements-flower
92,background-fgdarkblue,body-yellow,spikes,roar-pink,eyes-tear,elements-greenhat,elements-planet
93,background-fgdarkblue,body-red,spikes,roar-blue2,eyes-glasses2,elements-horn,elements-firetail
94,background-cloud,body-pink2,spikes,roar-blue,eyes-2,elements-bluehat,elements-planet
95,background-pink,body-pink2,spikes,roar-drool,eyes-glasses7,elements-flower1,elements-planet
96,background-purple2,body-yellow,spikes,roar-green,eyes-1,elements-flower1,elements-firetail
97,background-themed,body-pink2,spikes,roar-blue,eyes-glasses6,elements-horn,elements-flower
98,background-fgdarkblue,body-red,spikes,roar-tongue,eyes-glasses2,elements-horn,elements-firetail
99,background-green,body-yellow,spikes,roar-tongue,eyes-glasses2,elements-bluehat,elements-firetail
100,background-yellow,body-pink,spikes,roar-tongue,eyes-tear,elements-halo,elements-planet
101,background-sun,body-cyan,spikes,roar-yellow,eyes-glasses5,elements-halo,elements-firetail
102,background-cyan,body-yellow,spikes,roar-blue3,eyes-glasses2,elements-bluehat,elements-firetail
103,background-red2,body-red,spikes,roar-rainbow,eyes-3,elements-bluehat,elements-planet
104,background-green,body-yellow,spikes,roar-blue2,eyes-tear,elements-crown,elements-planet
105,background-fgdarkblue,body-yellow,spikes,roar-drool,eyes-glasses2,elements-greenhat,elements-planet
106,background-lines,body-pink,spikes,roar-green,eyes-glasses6,elements-horn,elements-flower
107,background-fgdarkblue,body-yellow,spikes,roar-rainbow,eyes-2,elements-bluehat,elements-planet
108,background-cyan,body-pink2,spikes,roar-drool,eyes-tear,elements-flower1,elements-planet
109,background-sun,body-yellow,spikes,roar-purple,eyes-glasses3,elements-greenhat,elements-firetail
110,background-blue,body-yellow,spikes,roar-green,eyes-glasses2,elements-halo,elements-planet
111,background-orange,body-orange,spikes,roar-mask,eyes-tear,elements-flower1,elements-firetail
112,background-lines,body-pink2,spikes,roar-rainbow,eyes-1,elements-crown,elements-flower
113,background-cyan,body-pink2,spikes,roar-tongue2,eyes-3,elements-greenhat,elements-firetail
114,background-pink2,body-red,spikes,roar-pink,eyes-glasses3,elements-halo,elements-firetail
115,background-green,body-pink,spikes,roar-tongue2,eyes-glasses5,elements-greenhat,elements-firetail
116,background-purple2,body-cyan,spikes,roar-rainbow,eyes-3,elements-halo,elements-firetail
117,background-fgdarkblue,body-orange,spikes,roar-rainbow,eyes-tear,elements-crown,elements-flower
118,background-blue,body-cyan,spikes,roar-pink,eyes-2,elements-horn,elements-firetail
119,background-orange,body-pink2,spikes,roar-pink,eyes-glasses7,elements-halo,elements-firetail
120,background-yellow,body-purple,spikes,roar-flowers,eyes-glasses7,elements-flower1,elements-firetail
121,background-pink2,body-pink2,spikes,roar-mask,eyes-glasses4,elements-halo,elements-firetail
122,background-red2,body-pink2,spikes,roar-yellow,eyes-3,elements-horn,elements-flower
123,background-purple2,body-green,spikes,roar-tongue2,eyes-3,elements-crown,elements-planet
124,background-themed,body-blue,spikes,roar-fire,eyes-glasses3,elements-bluehat,elements-firetail
125,background-blue,body-red,spikes,roar-purple,eyes-2,elements-horn,elements-firetail
126,background-lines,body-yellow,spikes,roar-purple,eyes-glasses1,elements-bluehat,elements-flower
127,background-cloud,body-orange,spikes,roar-blue,eyes-glasses6,elements-flower1,elements-planet
128,background-lines,body-blue,spikes,roar-mask,eyes-glasses7,elements-bluehat,elements-planet
129,background-yellow,body-pink2,spikes,roar-rainbow,eyes-glasses3,elements-greenhat,elements-flower
130,background-lines,body-pink,spikes,roar-flowers,eyes-glasses5,elements-flower1,elements-firetail
131,background-green,body-cyan,spikes,roar-flowers,eyes-2,elements-crown,elements-flower
132,background-themed,body-pink2,spikes,roar-tongue,eyes-glasses6,elements-crown,elements-planet
133,background-lines,body-cyan,spikes,roar-purple,eyes-glasses2,elements-greenhat,elements-flower
134,background-purple2,body-blue,spikes,roar-blue,eyes-3,elements-bluehat,elements-firetail
135,background-blue,body-pink2,spikes,roar-tongue2,eyes-glasses6,elements-horn,elements-firetail
136,background-yellow,body-orange,spikes,roar-fire,eyes-glasses6,elements-bluehat,elements-flower
137,background-themed,body-yellow,spikes,roar-mask,eyes-glasses5,elements-horn,elements-planet
138,background-cyan,body-blue,spikes,roar-blue3,eyes-glasses3,elements-bluehat,elements-planet
139,background-yellow,body-yellow,spikes,roar-purple,eyes-glasses1,elements-halo,elements-firetail
140,background-cloud,body-green,spikes,roar-rainbow,eyes-tear,elements-crown,elements-planet
141,background-cloud,body-cyan,spikes,roar-rainbow,eyes-glasses5,elements-bluehat,elements-firetail
142,background-purple2,body-purple,spikes,roar-rainbow,eyes-glasses5,elements-crown,elements-planet
143,background-red2,body-red,spikes,roar-yellow,eyes-glasses2,elements-horn,elements-planet
144,background-lines,body-blue,spikes,roar-rainbow,eyes-glasses7,elements-flower1,elements-planet
145,background-yellow,body-blue,spikes,roar-purple,eyes-1,elements-flower1,elements-flower
146,background-pink,body-blue,spikes,roar-rainbow,eyes-glasses1,elements-crown,elements-flower
147,background-yellow,body-purple,spikes,roar-blue3,eyes-glasses4,elements-horn,elements-firetail
148,background-red2,body-purple,spikes,roar-pink,eyes-tear,elements-horn,elements-firetail
149,background-fgdarkblue,body-cyan,spikes,roar-blue,eyes-3,elements-bluehat,elements-planet
150,background-purple2,body-cyan,spikes,roar-pink,eyes-glasses2,elements-crown,elements-firetail
151,background-pink,body-purple,spikes,roar-drool,eyes-tear,elements-greenhat,elements-firetail
152,background-orange,body-blue,spikes,roar-purple,eyes-1,elements-crown,elements-flower
153,background-pink2,body-blue,spikes,roar-tongue,eyes-1,elements-bluehat,elements-planet
154,background-orange,body-orange,spikes,roar-blue2,eyes-tear,elements-flower1,elements-planet
155,background-blue,body-yellow,spikes,roar-pink,eyes-2,elements-bluehat,elements-firetail
156,background-cyan,body-pink2,spikes,roar-drool,eyes-glasses6,elements-halo,elements-planet
157,background-fgdarkblue,body-purple,spikes,roar-yellow,eyes-tear,elements-flower1,elements-firetail
158,background-purple2,body-cyan,spikes,roar-flowers,eyes-2,elements-bluehat,elements-planet
159,background-themed,body-pink2,spikes,roar-pink,eyes-glasses5,elements-crown,elements-flower
160,background-sun,body-red,spikes,roar-blue,eyes-glasses1,elements-horn,elements-planet
161,background-fgdarkblue,body-orange,spikes,roar-blue3,eyes-glasses4,elements-greenhat,elements-firetail
162,background-sun,body-blue,spikes,roar-purple,eyes-glasses2,elements-flower1,elements-firetail
163,background-green,body-cyan,spikes,roar-green,eyes-3,elements-horn,elements-flower
164,background-lines,body-green,spikes,roar-yellow,eyes-glasses7,elements-halo,elements-firetail
165,background-pink,body-cyan,spikes,roar-drool,eyes-1,elements-crown,elements-planet
166,background-pink2,body-purple,spikes,roar-tongue2,eyes-glasses3,elements-bluehat,elements-planet
167,background-lines,body-green,spikes,roar-yellow,eyes-glasses3,elements-halo,elements-planet
168,background-themed,body-pink2,spikes,roar-rainbow,eyes-glasses4,elements-horn,elements-planet
169,background-red2,body-yellow,spikes,roar-green,eyes-1,elements-crown,elements-planet
170,background-orange,body-pink,spikes,roar-flowers,eyes-glasses6,elements-halo,elements-flower
171,background-themed,body-blue,spikes,roar-tongue,eyes-3,elements-horn,elements-firetail
172,background-blue,body-pink2,spikes,roar-fire,eyes-3,elements-greenhat,elements-firetail
173,background-lines,body-green,spikes,roar-flowers,eyes-glasses4,elements-horn,elements-planet
174,background-sun,body-cyan,spikes,roar-flowers,eyes-glasses1,elements-greenhat,elements-planet
175,background-pink2,body-pink,spikes,roar-rainbow,eyes-tear,elements-horn,elements-flower
176,background-yellow,body-pink,spikes,roar-blue2,eyes-glasses2,elements-halo,elements-planet
177,background-lines,body-blue,spikes,roar-tongue2,eyes-glasses6,elements-bluehat,elements-flower
178,background-fgdarkblue,body-cyan,spikes,roar-drool,eyes-glasses1,elements-crown,elements-firetail
179,background-red2,body-pink2,spikes,roar-mask,eyes-2,elements-halo,elements-planet
180,background-pink2,body-orange,spikes,roar-flowers,eyes-glasses3,elements-halo,elements-flower
181,background-blue,body-pink,spikes,roar-fire,eyes-2,elements-greenhat,elements-planet
182,background-sun,body-pink2,spikes,roar-blue3,eyes-3,elements-horn,elements-firetail
183,background-themed,body-orange,spikes,roar-drool,eyes-glasses5,elements-halo,elements-flower
184,background-themed,body-pink,spikes,roar-tongue,eyes-glasses7,elements-bluehat,elements-firetail
185,background-cloud,body-green,spikes,roar-blue2,eyes-2,elements-halo,elements-firetail
186,background-orange,body-yellow,spikes,roar-blue,eyes-glasses4,elements-crown,elements-firetail
187,background-cyan,body-yellow,spikes,roar-drool,eyes-glasses6,elements-horn,elements-flower
188,background-cloud,body-orange,spikes,roar-tongue,eyes-glasses7,elements-halo,elements-firetail
189,background-sun,body-blue,spikes,roar-drool,eyes-1,elements-horn,elements-planet
190,background-themed,body-red,spikes,roar-blue2,eyes-glasses5,elements-halo,elements-firetail
191,background-green,body-cyan,spikes,roar-blue,eyes-glasses6,elements-horn,elements-flower
192,background-blue,body-red,spikes,roar-rainbow,eyes-1,elements-crown,elements-planet
193,background-purple2,body-green,spikes,roar-rainbow,eyes-glasses4,elements-flower1,elements-firetail
194,background-pink2,body-purple,spikes,roar-mask,eyes-3,elements-crown,elements-flower
195,background-purple2,body-blue,spikes,roar-tongue2,eyes-glasses5,elements-halo,elements-flower
196,background-green,body-red,spikes,roar-fire,eyes-tear,elements-greenhat,elements-firetail
197,background-blue,body-yellow,spikes,roar-tongue2,eyes-glasses4,elements-bluehat,elements-firetail
198,background-sun,body-cyan,spikes,roar-tongue,eyes-tear,elements-crown,elements-planet
199,background-pink2,body-purple,spikes,roar-fire,eyes-tear,elements-horn,elements-planet
200,background-orange,body-pink2,spikes,roar-drool,eyes-glasses5,elements-flower1,elements-firetail
201,background-pink,body-orange,spikes,roar-fire,eyes-glasses7,elements-bluehat,elements-flower
202,background-fgdarkblue,body-yellow,spikes,roar-yellow,eyes-3,elements-greenhat,elements-firetail
203,background-pink,body-blue,spikes,roar-mask,eyes-1,elements-bluehat,elements-planet
204,background-lines,body-pink2,spikes,roar-mask,eyes-1,elements-bluehat,elements-flower
205,background-red2,body-yellow,spikes,roar-drool,eyes-glasses7,elements-greenhat,elements-firetail
206,background-red2,body-red,spikes,roar-rainbow,eyes-glasses3,elements-halo,elements-firetail
207,background-lines,body-pink2,spikes,roar-blue2,eyes-glasses1,elements-bluehat,elements-flower
208,background-red2,body-green,spikes,roar-yellow,eyes-2,elements-crown,elements-planet
209,background-cyan,body-purple,spikes,roar-blue,eyes-glasses4,elements-halo,elements-planet
210,background-fgdarkblue,body-purple,spikes,roar-drool,eyes-glasses3,elements-crown,elements-firetail
211,background-lines,body-green,spikes,roar-fire,eyes-glasses6,elements-horn,elements-firetail
212,background-cyan,body-purple,spikes,roar-blue,eyes-glasses1,elements-horn,elements-flower
213,background-pink,body-cyan,spikes,roar-drool,eyes-glasses4,elements-halo,elements-firetail
214,background-lines,body-pink2,spikes,roar-rainbow,eyes-1,elements-flower1,elements-firetail
215,background-cyan,body-orange,spikes,roar-pink,eyes-tear,elements-crown,elements-planet
216,background-purple2,body-red,spikes,roar-fire,eyes-glasses5,elements-halo,elements-flower
217,background-fgdarkblue,body-orange,spikes,roar-flowers,eyes-glasses5,elements-crown,elements-planet
218,background-red2,body-yellow,spikes,roar-pink,eyes-glasses6,elements-horn,elements-planet
219,background-pink2,body-yellow,spikes,roar-mask,eyes-glasses7,elements-crown,elements-flower
220,background-blue,body-orange,spikes,roar-tongue,eyes-glasses4,elements-horn,elements-planet
221,background-cloud,body-yellow,spikes,roar-yellow,eyes-glasses2,elements-greenhat,elements-flower
222,background-lines,body-cyan,spikes,roar-blue3,eyes-glasses5,elements-bluehat,elements-planet
223,background-yellow,body-red,spikes,roar-pink,eyes-glasses6,elements-flower1,elements-planet
224,background-red2,body-green,spikes,roar-drool,eyes-glasses6,elements-crown,elements-planet
225,background-orange,body-yellow,spikes,roar-drool,eyes-glasses1,elements-halo,elements-firetail
226,background-sun,body-cyan,spikes,roar-pink,eyes-tear,elements-horn,elements-planet
227,background-green,body-red,spikes,roar-pink,eyes-glasses6,elements-halo,elements-planet
228,background-yellow,body-yellow,spikes,roar-flowers,eyes-glasses5,elements-greenhat,elements-flower
229,background-pink2,body-orange,spikes,roar-tongue2,eyes-2,elements-halo,elements-planet
230,background-lines,body-yellow,spikes,roar-purple,eyes-2,elements-greenhat,elements-planet
231,background-fgdarkblue,body-purple,spikes,roar-green,eyes-1,elements-bluehat,elements-flower
232,background-orange,body-purple,spikes,roar-blue,eyes-tear,elements-halo,elements-firetail
233,background-purple2,body-purple,spikes,roar-blue3,eyes-tear,elements-flower1,elements-planet
234,background-cloud,body-green,spikes,roar-pink,eyes-glasses6,elements-greenhat,elements-planet
235,background-fgdarkblue,body-cyan,spikes,roar-tongue,eyes-2,elements-crown,elements-planet
236,background-themed,body-pink2,spikes,roar-green,eyes-glasses1,elements-bluehat,elements-firetail
237,background-themed,body-red,spikes,roar-blue2,eyes-glasses6,elements-bluehat,elements-planet
238,background-cloud,body-orange,spikes,roar-yellow,eyes-1,elements-bluehat,elements-planet
239,background-cyan,body-purple,spikes,roar-pink,eyes-glasses3,elements-halo,elements-planet
240,background-orange,body-pink2,spikes,roar-purple,eyes-glasses5,elements-flower1,elements-flower
241,background-orange,body-green,spikes,roar-blue,eyes-glasses1,elements-flower1,elements-planet
242,background-fgdarkblue,body-pink,spikes,roar-purple,eyes-glasses1,elements-halo,elements-flower
243,background-pink2,body-red,spikes,roar-blue2,eyes-glasses7,elements-greenhat,elements-firetail
244,background-purple2,body-cyan,spikes,roar-rainbow,eyes-glasses3,elements-flower1,elements-flower
245,background-red2,body-cyan,spikes,roar-green,eyes-glasses2,elements-halo,elements-firetail
246,background-yellow,body-pink,spikes,roar-green,eyes-1,elements-flower1,elements-firetail
247,background-lines,body-blue,spikes,roar-blue3,eyes-glasses5,elements-horn,elements-firetail
248,background-sun,body-red,spikes,roar-blue2,eyes-1,elements-greenhat,elements-flower
249,background-cyan,body-blue,spikes,roar-mask,eyes-glasses4,elements-bluehat,elements-firetail
250,background-fgdarkblue,body-red,spikes,roar-yellow,eyes-glasses2,elements-flower1,elements-planet
251,background-orange,body-purple,spikes,roar-green,eyes-3,elements-horn,elements-planet
252,background-orange,body-cyan,spikes,roar-flowers,eyes-1,elements-halo,elements-planet
253,background-fgdarkblue,body-pink,spikes,roar-drool,eyes-2,elements-flower1,elements-planet
254,background-red2,body-cyan,spikes,roar-pink,eyes-glasses7,elements-crown,elements-flower
255,background-blue,body-red,spikes,roar-fire,eyes-tear,elements-bluehat,elements-firetail
256,background-sun,body-yellow,spikes,roar-purple,eyes-tear,elements-halo,elements-planet
257,background-orange,body-pink,spikes,roar-fire,eyes-glasses7,elements-crown,elements-flower
258,background-blue,body-cyan,spikes,roar-blue,eyes-glasses7,elements-horn,elements-planet
259,background-themed,body-pink,spikes,roar-tongue2,eyes-3,elements-horn,elements-flower
260,background-cloud,body-orange,spikes,roar-fire,eyes-3,elements-bluehat,elements-flower
261,background-pink,body-blue,spikes,roar-green,eyes-glasses1,elements-flower1,elements-firetail
262,background-yellow,body-pink2,spikes,roar-tongue,eyes-glasses6,elements-bluehat,elements-flower
263,background-themed,body-green,spikes,roar-tongue,eyes-2,elements-bluehat,elements-flower
264,background-cloud,body-yellow,spikes,roar-purple,eyes-glasses6,elements-crown,elements-firetail
265,background-sun,body-green,spikes,roar-fire,eyes-glasses4,elements-flower1,elements-firetail
266,background-fgdarkblue,body-pink2,spikes,roar-pink,eyes-glasses1,elements-bluehat,elements-firetail
267,background-lines,body-purple,spikes,roar-blue2,eyes-tear,elements-greenhat,elements-firetail
268,background-cyan,body-cyan,spikes,roar-purple,eyes-glasses3,elements-greenhat,elements-planet
269,background-blue,body-pink,spikes,roar-yellow,eyes-glasses5,elements-bluehat,elements-planet
270,background-themed,body-orange,spikes,roar-drool,eyes-glasses4,elements-flower1,elements-flower
271,background-pink2,body-blue,spikes,roar-fire,eyes-glasses2,elements-bluehat,elements-firetail
272,background-orange,body-pink,spikes,roar-mask,eyes-glasses2,elements-halo,elements-flower
273,background-cyan,body-purple,spikes,roar-tongue2,eyes-2,elements-halo,elements-flower
274,background-purple2,body-green,spikes,roar-tongue,eyes-glasses4,elements-halo,elements-flower
275,background-lines,body-green,spikes,roar-blue3,eyes-tear,elements-halo,elements-planet
276,background-pink2,body-orange,spikes,roar-purple,eyes-1,elements-greenhat,elements-firetail
277,background-yellow,body-yellow,spikes,roar-pink,eyes-1,elements-flower1,elements-firetail
278,background-pink2,body-yellow,spikes,roar-purple,eyes-glasses6,elements-flower1,elements-firetail
279,background-pink,body-pink2,spikes,roar-blue2,eyes-glasses3,elements-greenhat,elements-flower
280,background-purple2,body-purple,spikes,roar-green,eyes-glasses3,elements-horn,elements-planet
281,background-pink2,body-blue,spikes,roar-tongue2,eyes-glasses6,elements-crown,elements-flower
282,background-cloud,body-pink2,spikes,roar-purple,eyes-glasses2,elements-greenhat,elements-firetail
283,background-blue,body-green,spikes,roar-tongue2,eyes-glasses7,elements-flower1,elements-flower
284,background-pink2,body-cyan,spikes,roar-mask,eyes-glasses5,elements-horn,elements-flower
285,background-orange,body-purple,spikes,roar-fire,eyes-glasses3,elements-bluehat,elements-firetail
286,background-lines,body-yellow,spikes,roar-tongue2,eyes-glasses1,elements-halo,elements-flower
287,background-pink2,body-cyan,spikes,roar-pink,eyes-glasses7,elements-greenhat,elements-firetail
288,background-blue,body-green,spikes,roar-fire,eyes-glasses3,elements-halo,elements-flower
289,background-lines,body-green,spikes,roar-pink,eyes-3,elements-crown,elements-planet
290,background-green,body-green,spikes,roar-rainbow,eyes-tear,elements-halo,elements-flower
291,background-orange,body-blue,spikes,roar-drool,eyes-glasses1,elements-bluehat,elements-firetail
292,background-pink2,body-purple,spikes,roar-blue2,eyes-1,elements-horn,elements-flower
293,background-sun,body-pink,spikes,roar-tongue,eyes-3,elements-greenhat,elements-flower
294,background-cyan,body-orange,spikes,roar-tongue2,eyes-1,elements-horn,elements-planet
295,background-sun,body-orange,spikes,roar-fire,eyes-1,elements-halo,elements-planet
296,background-pink2,body-green,spikes,roar-blue3,eyes-glasses4,elements-halo,elements-planet
297,background-fgdarkblue,body-green,spikes,roar-tongue2,eyes-glasses4,elements-halo,elements-firetail
298,background-cloud,body-pink,spikes,roar-tongue2,eyes-glasses2,elements-halo,elements-flower
299,background-purple2,body-purple,spikes,roar-yellow,eyes-glasses7,elements-greenhat,elements-firetail
300,background-lines,body-cyan,spikes,roar-tongue,eyes-3,elements-flower1,elements-planet
301,background-blue,body-pink,spikes,roar-pink,eyes-glasses6,elements-bluehat,elements-firetail
302,background-lines,body-green,spikes,roar-blue,eyes-3,elements-flower1,elements-firetail
303,background-pink,body-orange,spikes,roar-green,eyes-tear,elements-halo,elements-flower
304,background-blue,body-pink,spikes,roar-blue3,eyes-1,elements-halo,elements-firetail
305,background-yellow,body-orange,spikes,roar-drool,eyes-3,elements-bluehat,elements-planet
306,background-fgdarkblue,body-pink,spikes,roar-tongue2,eyes-glasses5,elements-flower1,elements-firetail
307,background-blue,body-cyan,spikes,roar-blue,eyes-glasses7,elements-crown,elements-planet
308,background-themed,body-purple,spikes,roar-flowers,eyes-glasses6,elements-horn,elements-planet
309,background-green,body-cyan,spikes,roar-rainbow,eyes-2,elements-greenhat,elements-flower
310,background-blue,body-yellow,spikes,roar-blue2,eyes-2,elements-crown,elements-planet
311,background-purple2,body-green,spikes,roar-rainbow,eyes-3,elements-halo,elements-firetail
